A分支-x86_64（二进制包名）,A分支-x86_64（二进制对应源码包名）,A分支-aarch64（二进制包名）,A分支-aarch64（二进制对应源码包名）,A分支-loongarch64（二进制包名）,A分支-loongarch64（二进制对应源码包名）,E分支-x86_64（二进制包名）,E分支-x86_64（二进制对应源码包名）,E分支-aarch64（二进制包名）,E分支-aarch64（二进制对应源码包名）,,,,,,,,,,,,,,,
NetworkManager-ppp,NetworkManager,NetworkManager-team,NetworkManager,NetworkManager-team,NetworkManager,SDL,SDL,SDL2,SDL2,,,,,,,,,,,,,,,
NetworkManager-team,NetworkManager,NetworkManager-tui,NetworkManager,NetworkManager-tui,NetworkManager,SDL-help,SDL,SDL2-devel,SDL2,,,,,,,,,,,,,,,
NetworkManager-tui,NetworkManager,NetworkManager-wifi,NetworkManager,NetworkManager-wifi,NetworkManager,SDL2,SDL2,UnionTech-gpg-keys,UnionTech-repos,,,,,,,,,,,,,,,
NetworkManager-wifi,NetworkManager,NetworkManager-wwan,NetworkManager,NetworkManager-wwan,NetworkManager,SDL2-devel,SDL2,UnionTech-latest-release,UnionTech-latest-release,,,,,,,,,,,,,,,
NetworkManager-wwan,NetworkManager,OpenEXR-libs,OpenEXR,OpenEXR-libs,OpenEXR,UnionTech-gpg-keys,UnionTech-repos,UnionTech-logos,UnionTech-logos,,,,,,,,,,,,,,,
OpenEXR-libs,OpenEXR,OpenIPMI,OpenIPMI,OpenIPMI,OpenIPMI,UnionTech-latest-release,UnionTech-latest-release,UnionTech-logos-httpd,UnionTech-logos,,,,,,,,,,,,,,,
OpenIPMI,OpenIPMI,OpenIPMI-libs,OpenIPMI,OpenIPMI-libs,OpenIPMI,UnionTech-logos,UnionTech-logos,UnionTech-logos-ipa,UnionTech-logos,,,,,,,,,,,,,,,
OpenIPMI-libs,OpenIPMI,PackageKit,PackageKit,PackageKit,PackageKit,UnionTech-logos-httpd,UnionTech-logos,UnionTech-lsb,UnionTech-lsb,,,,,,,,,,,,,,,
PackageKit,PackageKit,PackageKit-command-not-found,PackageKit,PackageKit-command-not-found,PackageKit,UnionTech-logos-ipa,UnionTech-logos,UnionTech-manual,UnionTech-manual,,,,,,,,,,,,,,,
PackageKit-command-not-found,PackageKit,PackageKit-cron,PackageKit,PackageKit-cron,PackageKit,UnionTech-lsb,UnionTech-lsb,UnionTech-menus,UnionTech-menus,,,,,,,,,,,,,,,
PackageKit-cron,PackageKit,PackageKit-glib,PackageKit,PackageKit-glib,PackageKit,UnionTech-manual,UnionTech-manual,UnionTech-performance,UnionTech-release,,,,,,,,,,,,,,,
PackageKit-glib,PackageKit,PackageKit-gstreamer-plugin,PackageKit,PackageKit-gstreamer-plugin,PackageKit,UnionTech-menus,UnionTech-menus,UnionTech-release,UnionTech-release,,,,,,,,,,,,,,,
PackageKit-gstreamer-plugin,PackageKit,PackageKit-gtk3-module,PackageKit,PackageKit-gtk3-module,PackageKit,UnionTech-performance,UnionTech-release,UnionTech-repos,UnionTech-repos,,,,,,,,,,,,,,,
