A分支-x86_64（二进制包名）,A分支-x86_64（二进制对应源码包名）,A分支-aarch64（二进制包名）,A分支-aarch64（二进制对应源码包名）,A分支-loongarch64（二进制包名）,A分支-loongarch64（二进制对应源码包名）,E分支-x86_64（二进制包名）,E分支-x86_64（二进制对应源码包名）,E分支-aarch64（二进制包名）,E分支-aarch64（二进制对应源码包名）,,,,,,,,,,,,,,,
dde-disk-mount-plugin,dde-file-manager,dde-polkit-agent,dde-polkit-agent,decentxml,decentxml,gcc,gcc,gdk-pixbuf2,gdk-pixbuf2,,,,,,,,,,,,,,,
dde-dock,dde-dock,dde-qt-dbus-factory,dde-qt-dbus-factory,decentxml-javadoc,decentxml,gcc-c++,gcc,gdk-pixbuf2-devel,gdk-pixbuf2,,,,,,,,,,,,,,,
dde-dock-onboard-plugin,dde-dock,dde-qt5integration,dde-qt5integration,deepin-boot-maker,deepin-boot-maker,gcc-gdb-plugin,gcc,gegl,gegl,,,,,,,,,,,,,,,
dde-file-manager,dde-file-manager,dde-qt5xcb-plugin,dde-qt5platform-plugins,deepin-calculator,deepin-calculator,gcc-gfortran,gcc,gegl-devel,gegl,,,,,,,,,,,,,,,
dde-kwin,dde-kwin,dde-server-industry-config,dde-server-industry-config,deepin-compressor,deepin-compressor,gcc-objc,gcc,genisoimage,cdrkit,,,,,,,,,,,,,,,
dde-launcher,dde-launcher,dde-session-shell,dde-session-shell,deepin-default-settings,deepin-default-settings,gcc-objc++,gcr,geoclue2,geoclue2,,,,,,,,,,,,,,,
dde-manual-content,dde-manual-content,dde-session-ui,dde-session-ui,deepin-desktop-schemas,deepin-desktop-schemas,gcr,gd,geronimo-annotation,geronimo-annotation,,,,,,,,,,,,,,,
dde-network-core,dde-network-core,decentxml,decentxml,deepin-desktop-server,deepin-desktop-base,gd,gdb,gettext,gettext,,,,,,,,,,,,,,,
dde-network-utils,dde-network-utils,decentxml-javadoc,decentxml,deepin-devicemanager,deepin-devicemanager,gdb,gdb,gettext-devel,gettext,,,,,,,,,,,,,,,
dde-polkit-agent,dde-polkit-agent,deepin-boot-maker,deepin-boot-maker,deepin-editor,deepin-editor,gdb-gdbserver,gdb,gflags,gflags,,,,,,,,,,,,,,,
dde-qt-dbus-factory,dde-qt-dbus-factory,deepin-calculator,deepin-calculator,deepin-fcitxconfigtool-plugin,deepin-fcitxconfigtool-plugin,gdb-headless,gdb,gflags-devel,gflags,,,,,,,,,,,,,,,
dde-qt5integration,dde-qt5integration,deepin-compressor,deepin-compressor,deepin-gettext-tools,deepin-gettext-tools,gdb-help,gdbm,gfs2-utils,gfs2-utils,,,,,,,,,,,,,,,
dde-qt5xcb-plugin,dde-qt5platform-plugins,deepin-default-settings,deepin-default-settings,deepin-gtk-theme,deepin-gtk-theme,gdbm,gdbm,ghostscript,ghostscript,,,,,,,,,,,,,,,
dde-server-industry-config,dde-server-industry-config,deepin-desktop-schemas,deepin-desktop-schemas,deepin-icon-theme,deepin-icon-theme,gdbm-devel,gdbm,giflib,giflib,,,,,,,,,,,,,,,
dde-session-shell,dde-session-shell,deepin-desktop-server,deepin-desktop-base,deepin-image-editor,deepin-image-editor,gdbm-help,gdisk,gimp,gimp,,,,,,,,,,,,,,,
dde-session-ui,dde-session-ui,deepin-devicemanager,deepin-devicemanager,deepin-license-activator,uos-license,gdisk,gdk-pixbuf2,gimp-devel,gimp,,,,,,,,,,,,,,,
decentxml,decentxml,deepin-editor,deepin-editor,deepin-log-viewer,deepin-log-viewer,gdk-pixbuf2,gdk-pixbuf2,gimp-devel-tools,gimp,,,,,,,,,,,,,,,
decentxml-javadoc,decentxml,deepin-fcitxconfigtool-plugin,deepin-fcitxconfigtool-plugin,deepin-menu,deepin-menu,gdk-pixbuf2-devel,gegl,gimp-libs,gimp,,,,,,,,,,,,,,,
deepin-anything-dkms,deepin-anything,deepin-gettext-tools,deepin-gettext-tools,deepin-proxy,deepin-proxy,gegl,gegl,git,git,,,,,,,,,,,,,,,
deepin-anything-libs,deepin-anything,deepin-gtk-theme,deepin-gtk-theme,deepin-pw-check,deepin-pw-check,gegl-devel,cdrkit,git-clang-format,clang,,,,,,,,,,,,,,,
deepin-anything-server,deepin-anything,deepin-icon-theme,deepin-icon-theme,deepin-reader,deepin-reader,genisoimage,geoclue2,gjs,gjs,,,,,,,,,,,,,,,
deepin-boot-maker,deepin-boot-maker,deepin-license-activator,uos-license,deepin-screen-recorder,deepin-screen-recorder,geoclue2,geronimo-annotation,glassfish-el-api,glassfish-el,,,,,,,,,,,,,,,
deepin-calculator,deepin-calculator,deepin-log-viewer,deepin-log-viewer,deepin-screensaver,deepin-screensaver,geronimo-annotation,gettext,glassfish-fastinfoset,glassfish-fastinfoset,,,,,,,,,,,,,,,
deepin-compressor,deepin-compressor,deepin-manual,deepin-manual,deepin-screensaver-data,deepin-screensaver,gettext,gettext,glassfish-jaxb-api,glassfish-jaxb-api,,,,,,,,,,,,,,,
deepin-default-settings,deepin-default-settings,deepin-menu,deepin-menu,deepin-shortcut-viewer,deepin-shortcut-viewer,gettext-devel,gflags,glassfish-jaxb-core,glassfish-jaxb,,,,,,,,,,,,,,,
deepin-desktop-schemas,deepin-desktop-schemas,deepin-proxy,deepin-proxy,deepin-sound-theme,deepin-sound-theme,gflags,gflags,glassfish-jaxb-runtime,glassfish-jaxb,,,,,,,,,,,,,,,
deepin-desktop-server,deepin-desktop-base,deepin-pw-check,deepin-pw-check,deepin-system-monitor,deepin-system-monitor,gflags-devel,gfs2-utils,glassfish-jaxb-txw2,glassfish-jaxb,,,,,,,,,,,,,,,
deepin-devicemanager,deepin-devicemanager,deepin-reader,deepin-reader,deepin-terminal,deepin-terminal,gfs2-utils,ghostscript,glew,glew,,,,,,,,,,,,,,,
deepin-editor,deepin-editor,deepin-screen-recorder,deepin-screen-recorder,deepin-wallpapers,deepin-wallpapers,ghostscript,giflib,glib-networking,glib-networking,,,,,,,,,,,,,,,
deepin-fcitxconfigtool-plugin,deepin-fcitxconfigtool-plugin,deepin-screensaver,deepin-screensaver,deepin_local_property_repository,deepin_local_property_repository,giflib,gimp,glib2,glib2,,,,,,,,,,,,,,,
deepin-gettext-tools,deepin-gettext-tools,deepin-screensaver-data,deepin-screensaver,dejavu-fonts-common,dejavu-fonts,gimp,gimp,glib2-devel,glib2,,,,,,,,,,,,,,,
deepin-gtk-theme,deepin-gtk-theme,deepin-shortcut-viewer,deepin-shortcut-viewer,dejavu-lgc-sans-fonts,dejavu-fonts,gimp-devel,gimp,glibc,glibc,,,,,,,,,,,,,,,
deepin-icon-theme,deepin-icon-theme,deepin-sound-theme,deepin-sound-theme,dejavu-sans-fonts,dejavu-fonts,gimp-devel-tools,gimp,glibc-all-langpacks,glibc,,,,,,,,,,,,,,,
deepin-license-activator,uos-license,deepin-system-monitor,deepin-system-monitor,dejavu-sans-mono-fonts,dejavu-fonts,gimp-libs,git,glibc-common,glibc,,,,,,,,,,,,,,,
deepin-log-viewer,deepin-log-viewer,deepin-terminal,deepin-terminal,dejavu-serif-fonts,dejavu-fonts,git,clang,glibc-debugutils,glibc,,,,,,,,,,,,,,,
deepin-manual,deepin-manual,deepin-wallpapers,deepin-wallpapers,deltarpm,deltarpm,git-clang-format,gjs,glibc-devel,glibc,,,,,,,,,,,,,,,
deepin-menu,deepin-menu,deepin_local_property_repository,deepin_local_property_repository,desktop-file-utils,desktop-file-utils,gjs,glassfish-el,glibmm24,glibmm24,,,,,,,,,,,,,,,
deepin-proxy,deepin-proxy,dejavu-fonts-common,dejavu-fonts,device-mapper,lvm2,glassfish-el-api,glassfish-fastinfoset,glibmm24-help,glibmm24,,,,,,,,,,,,,,,
deepin-pw-check,deepin-pw-check,dejavu-lgc-sans-fonts,dejavu-fonts,device-mapper-event,lvm2,glassfish-fastinfoset,glassfish-jaxb-api,glog,glog,,,,,,,,,,,,,,,
deepin-reader,deepin-reader,dejavu-sans-fonts,dejavu-fonts,device-mapper-event-libs,lvm2,glassfish-jaxb-api,glassfish-jaxb,glusterfs,glusterfs,,,,,,,,,,,,,,,
deepin-screen-recorder,deepin-screen-recorder,dejavu-sans-mono-fonts,dejavu-fonts,device-mapper-libs,lvm2,glassfish-jaxb-core,glassfish-jaxb,gmime30,gmime30,,,,,,,,,,,,,,,
deepin-screensaver,deepin-screensaver,dejavu-serif-fonts,dejavu-fonts,device-mapper-multipath,device-mapper-multipath,glassfish-jaxb-runtime,glassfish-jaxb,gmp,gmp,,,,,,,,,,,,,,,
deepin-screensaver-data,deepin-screensaver,deltarpm,deltarpm,device-mapper-multipath-libs,device-mapper-multipath,glassfish-jaxb-txw2,glew,gnome-autoar,gnome-autoar,,,,,,,,,,,,,,,
deepin-shortcut-viewer,deepin-shortcut-viewer,desktop-file-utils,desktop-file-utils,device-mapper-persistent-data,device-mapper-persistent-data,glew,glib-networking,gnome-desktop3,gnome-desktop3,,,,,,,,,,,,,,,
deepin-sound-theme,deepin-sound-theme,device-mapper,lvm2,dhcp-client,dhcp,glib-networking,glib2,gnome-keyring,gnome-keyring,,,,,,,,,,,,,,,
deepin-system-monitor,deepin-system-monitor,device-mapper-event,lvm2,dhcp-common,dhcp,glib2,glib2,gnome-keyring-pam,gnome-keyring,,,,,,,,,,,,,,,
deepin-terminal,deepin-terminal,device-mapper-event-libs,lvm2,dhcp-libs,dhcp,glib2-devel,glibc,gnome-online-accounts,gnome-online-accounts,,,,,,,,,,,,,,,
deepin-wallpapers,deepin-wallpapers,device-mapper-libs,lvm2,dhcp-relay,dhcp,glibc,glibc,gnome-themes-standard,gnome-themes-standard,,,,,,,,,,,,,,,
deepin_local_property_repository,deepin_local_property_repository,device-mapper-multipath,device-mapper-multipath,dhcp-server,dhcp,glibc-all-langpacks,glibc,gnu-free-fonts-common,gnu-free-fonts,,,,,,,,,,,,,,,
dejavu-fonts-common,dejavu-fonts,device-mapper-multipath-libs,device-mapper-multipath,diffstat,diffstat,glibc-common,glibc,gnu-free-serif-fonts,gnu-free-fonts,,,,,,,,,,,,,,,
dejavu-lgc-sans-fonts,dejavu-fonts,device-mapper-persistent-data,device-mapper-persistent-data,diffutils,diffutils,glibc-debugutils,glibc,gnupg2,gnupg2,,,,,,,,,,,,,,,
dejavu-sans-fonts,dejavu-fonts,dhcp-client,dhcp,dirsplit,cdrkit,glibc-devel,glibmm24,gnuplot,gnuplot,,,,,,,,,,,,,,,
dejavu-sans-mono-fonts,dejavu-fonts,dhcp-common,dhcp,disomaster,disomaster,glibmm24,glibmm24,gnutls,gnutls,,,,,,,,,,,,,,,
dejavu-serif-fonts,dejavu-fonts,dhcp-libs,dhcp,djvulibre-libs,djvulibre,glibmm24-help,glog,go-toolset,go-toolset,,,,,,,,,,,,,,,
deltarpm,deltarpm,dhcp-relay,dhcp,dlm-lib,dlm,glog,glusterfs,gobject-introspection,gobject-introspection,,,,,,,,,,,,,,,
delve,delve,dhcp-server,dhcp,dmidecode,dmidecode,glusterfs,gmime30,gobject-introspection-devel,gobject-introspection,,,,,,,,,,,,,,,
desktop-file-utils,desktop-file-utils,diffstat,diffstat,dmraid,dmraid,gmime30,gmp,golang,golang,,,,,,,,,,,,,,,
device-mapper,lvm2,diffutils,diffutils,dmraid-events,dmraid,gmp,gnome-autoar,golang-bin,golang,,,,,,,,,,,,,,,
device-mapper-event,lvm2,dirsplit,cdrkit,dnf,dnf,gnome-autoar,gnome-desktop3,golang-devel,golang,,,,,,,,,,,,,,,
device-mapper-event-libs,lvm2,disomaster,disomaster,dnf-automatic,dnf,gnome-desktop3,gnome-keyring,golang-docs,golang,,,,,,,,,,,,,,,
device-mapper-libs,lvm2,djvulibre-libs,djvulibre,dnf-data,dnf,gnome-keyring,gnome-keyring,golang-github-prometheus-node_exporter,golang-github-prometheus-node_exporter,,,,,,,,,,,,,,,
device-mapper-multipath,device-mapper-multipath,dmidecode,dmidecode,dnf-plugin-spacewalk,dnf-plugin-spacewalk,gnome-keyring-pam,gnome-online-accounts,golang-misc,golang,,,,,,,,,,,,,,,
device-mapper-multipath-libs,device-mapper-multipath,dmraid,dmraid,dnf-plugins-core,dnf-plugins-core,gnome-online-accounts,gnome-themes-standard,golang-src,golang,,,,,,,,,,,,,,,
device-mapper-persistent-data,device-mapper-persistent-data,dmraid-events,dmraid,dnsmasq,dnsmasq,gnome-themes-standard,gnu-free-fonts,golang-tests,golang,,,,,,,,,,,,,,,
dhcp-client,dhcp,dnf,dnf,dnsmasq-utils,dnsmasq,gnu-free-fonts-common,gnu-free-fonts,google-droid-sans-fonts,google-droid-fonts,,,,,,,,,,,,,,,
dhcp-common,dhcp,dnf-automatic,dnf,docbook-dtds,docbook-dtds,gnu-free-serif-fonts,gnupg2,google-guice,google-guice,,,,,,,,,,,,,,,
dhcp-libs,dhcp,dnf-data,dnf,docbook-style-dsssl,docbook-style-dsssl,gnupg2,gnuplot,google-noto-cjk-fonts,google-noto-cjk-fonts,,,,,,,,,,,,,,,
dhcp-relay,dhcp,dnf-plugin-spacewalk,dnf-plugin-spacewalk,docbook-style-xsl,docbook-style-xsl,gnuplot,gnutls,google-noto-emoji-fonts,google-noto-emoji-fonts,,,,,,,,,,,,,,,
dhcp-server,dhcp,dnf-plugins-core,dnf-plugins-core,docbook-utils,docbook-utils,gnutls,go-toolset,google-noto-fonts-common,google-noto-fonts,,,,,,,,,,,,,,,
diffstat,diffstat,dnsmasq,dnsmasq,docparser,docparser,go-toolset,gobject-introspection,google-noto-sans-cjk-ttc-fonts,google-noto-cjk-fonts,,,,,,,,,,,,,,,
diffutils,diffutils,dnsmasq-utils,dnsmasq,dos2unix,dos2unix,gobject-introspection,gobject-introspection,google-noto-sans-fonts,google-noto-fonts,,,,,,,,,,,,,,,
dirsplit,cdrkit,docbook-dtds,docbook-dtds,dosfstools,dosfstools,gobject-introspection-devel,golang,google-noto-serif-cjk-ttc-fonts,google-noto-cjk-fonts,,,,,,,,,,,,,,,
disomaster,disomaster,docbook-style-dsssl,docbook-style-dsssl,dotconf,dotconf,golang,golang,gparted,gparted,,,,,,,,,,,,,,,
djvulibre-libs,djvulibre,docbook-style-xsl,docbook-style-xsl,dovecot,dovecot,golang-bin,golang,gparted-help,gparted,,,,,,,,,,,,,,,
dlm-lib,dlm,docbook-utils,docbook-utils,dovecot-mysql,dovecot,golang-devel,golang,gperftools-libs,gperftools,,,,,,,,,,,,,,,
dmidecode,dmidecode,docparser,docparser,dovecot-pgsql,dovecot,golang-docs,golang-github-prometheus-node_exporter,gpgme,gpgme,,,,,,,,,,,,,,,
dmraid,dmraid,dos2unix,dos2unix,dovecot-pigeonhole,dovecot,golang-github-prometheus-node_exporter,golang,gpm,gpm,,,,,,,,,,,,,,,
dmraid-events,dmraid,dosfstools,dosfstools,dpa-ext-gnomekeyring,dpa-ext-gnomekeyring,golang-misc,golang,gpm-libs,gpm,,,,,,,,,,,,,,,
dnf,dnf,dotconf,dotconf,dracut,dracut,golang-race,golang,grafana,grafana,,,,,,,,,,,,,,,
dnf-automatic,dnf,dovecot,dovecot,dracut-caps,dracut,golang-src,golang,graphite2,graphite2,,,,,,,,,,,,,,,
dnf-data,dnf,dovecot-mysql,dovecot,dracut-config-generic,dracut,golang-tests,google-droid-fonts,graphite2-devel,graphite2,,,,,,,,,,,,,,,
dnf-plugin-spacewalk,dnf-plugin-spacewalk,dovecot-pgsql,dovecot,dracut-config-rescue,dracut,google-droid-sans-fonts,google-guice,graphviz,graphviz,,,,,,,,,,,,,,,
dnf-plugins-core,dnf-plugins-core,dovecot-pigeonhole,dovecot,dracut-live,dracut,google-guice,google-noto-cjk-fonts,grep,grep,,,,,,,,,,,,,,,
dnsmasq,dnsmasq,dpa-ext-gnomekeyring,dpa-ext-gnomekeyring,dracut-network,dracut,google-noto-cjk-fonts,google-noto-emoji-fonts,groff-base,groff,,,,,,,,,,,,,,,
dnsmasq-utils,dnsmasq,dpdk,dpdk,dracut-squash,dracut,google-noto-emoji-fonts,google-noto-fonts,grpc,grpc,,,,,,,,,,,,,,,
docbook-dtds,docbook-dtds,dpdk-devel,dpdk,dracut-tools,dracut,google-noto-fonts-common,google-noto-cjk-fonts,grub-themes-deepin,grub-themes-deepin,,,,,,,,,,,,,,,
docbook-style-dsssl,docbook-style-dsssl,dpdk-doc,dpdk,drpm,drpm,google-noto-sans-cjk-ttc-fonts,google-noto-fonts,grub2-common,grub2,,,,,,,,,,,,,,,
docbook-style-xsl,docbook-style-xsl,dpdk-tools,dpdk,dtkcommon,dtkcommon,google-noto-sans-fonts,google-noto-cjk-fonts,grub2-efi-aa64,grub2,,,,,,,,,,,,,,,
docbook-utils,docbook-utils,dracut,dracut,dtkcore,dtkcore,google-noto-serif-cjk-ttc-fonts,gparted,grub2-efi-aa64-cdboot,grub2,,,,,,,,,,,,,,,
docparser,docparser,dracut-caps,dracut,dtkgui,dtkgui,gparted,gparted,grub2-efi-aa64-modules,grub2,,,,,,,,,,,,,,,
dos2unix,dos2unix,dracut-config-generic,dracut,dtkwidget,dtkwidget,gparted-help,gperftools,grub2-tools,grub2,,,,,,,,,,,,,,,
dosfstools,dosfstools,dracut-config-rescue,dracut,dump,dump,gperftools-libs,gpgme,grub2-tools-extra,grub2,,,,,,,,,,,,,,,
dotconf,dotconf,dracut-live,dracut,dwz,dwz,gpgme,gpm,grub2-tools-minimal,grub2,,,,,,,,,,,,,,,
dovecot,dovecot,dracut-network,dracut,e2fsprogs,e2fsprogs,gpm,gpm,grubby,grubby,,,,,,,,,,,,,,,
dovecot-mysql,dovecot,dracut-squash,dracut,e2fsprogs-devel,e2fsprogs,gpm-libs,grafana,gsettings-desktop-schemas,gsettings-desktop-schemas,,,,,,,,,,,,,,,
dovecot-pgsql,dovecot,dracut-tools,dracut,e2fsprogs-libs,e2fsprogs,grafana,graphite2,gsettings-qt,gsettings-qt,,,,,,,,,,,,,,,
dovecot-pigeonhole,dovecot,drpm,drpm,easymock,easymock,graphite2,graphite2,gsl,gsl,,,,,,,,,,,,,,,
dpa-ext-gnomekeyring,dpa-ext-gnomekeyring,dtc,dtc,easymock-javadoc,easymock,graphite2-devel,graphviz,gsl-devel,gsl,,,,,,,,,,,,,,,
dpdk,dpdk,dtkcommon,dtkcommon,ecj,ecj,graphviz,grep,gsm,gsm,,,,,,,,,,,,,,,
dpdk-devel,dpdk,dtkcore,dtkcore,ecryptfs-utils,ecryptfs-utils,grep,groff,gspell,gspell,,,,,,,,,,,,,,,
dpdk-doc,dpdk,dtkgui,dtkgui,ed,ed,groff-base,grpc,gssdp,gssdp,,,,,,,,,,,,,,,
dpdk-tools,dpdk,dtkwidget,dtkwidget,efi-filesystem,efi-rpm-macros,grpc,grub-themes-deepin,gssproxy,gssproxy,,,,,,,,,,,,,,,
dracut,dracut,dump,dump,efi-srpm-macros,efi-rpm-macros,grub-themes-deepin,grub2,gstreamer1,gstreamer1,,,,,,,,,,,,,,,
dracut-caps,dracut,dwz,dwz,efibootmgr,efibootmgr,grub2-common,grub2,gstreamer1-devel,gstreamer1,,,,,,,,,,,,,,,
dracut-config-generic,dracut,dyninst,dyninst,efivar,efivar,grub2-efi-x64,grub2,gstreamer1-plugins-bad-free,gstreamer1-plugins-bad-free,,,,,,,,,,,,,,,
dracut-config-rescue,dracut,e2fsprogs,e2fsprogs,efivar-libs,efivar,grub2-efi-x64-cdboot,grub2,gstreamer1-plugins-base,gstreamer1-plugins-base,,,,,,,,,,,,,,,
dracut-live,dracut,e2fsprogs-devel,e2fsprogs,elfutils,elfutils,grub2-efi-x64-modules,grub2,gstreamer1-plugins-base-devel,gstreamer1-plugins-base,,,,,,,,,,,,,,,
dracut-network,dracut,e2fsprogs-libs,e2fsprogs,elfutils-debuginfod,elfutils,grub2-pc,grub2,gstreamer1-plugins-good,gstreamer1-plugins-good,,,,,,,,,,,,,,,
dracut-squash,dracut,easymock,easymock,elfutils-debuginfod-client,elfutils,grub2-pc-modules,grub2,gstreamer1-plugins-ugly-free,gstreamer1-plugins-ugly-free,,,,,,,,,,,,,,,
dracut-tools,dracut,easymock-javadoc,easymock,elfutils-debuginfod-client-devel,elfutils,grub2-tools,grub2,gtk-murrine-engine,gtk-murrine-engine,,,,,,,,,,,,,,,
drpm,drpm,ecj,ecj,elfutils-default-yama-scope,elfutils,grub2-tools-efi,grub2,gtk-vnc2,gtk-vnc,,,,,,,,,,,,,,,
dtkcommon,dtkcommon,ecryptfs-utils,ecryptfs-utils,elfutils-devel,elfutils,grub2-tools-extra,grub2,gtk2,gtk2,,,,,,,,,,,,,,,
dtkcore,dtkcore,ed,ed,elfutils-libelf,elfutils,grub2-tools-minimal,grubby,gtk2-devel,gtk2,,,,,,,,,,,,,,,
dtkgui,dtkgui,edac-utils,edac-utils,elfutils-libelf-devel,elfutils,grubby,gsettings-desktop-schemas,gtk3,gtk3,,,,,,,,,,,,,,,
dtkwidget,dtkwidget,edk2-aarch64,edk2,elfutils-libs,elfutils,gsettings-desktop-schemas,gsettings-qt,gtk3-devel,gtk3,,,,,,,,,,,,,,,
dump,dump,efi-filesystem,efi-rpm-macros,elinks,elinks,gsettings-qt,gsl,gtkmm24,gtkmm24,,,,,,,,,,,,,,,
dwz,dwz,efi-srpm-macros,efi-rpm-macros,emacs,emacs,gsl,gsl,gtkmm30,gtkmm30,,,,,,,,,,,,,,,
dyninst,dyninst,efibootmgr,efibootmgr,emacs-common,emacs,gsl-devel,gsm,guava20,guava20,,,,,,,,,,,,,,,
e2fsprogs,e2fsprogs,efivar,efivar,emacs-filesystem,emacs,gsm,gspell,gubbi-fonts,gubbi-fonts,,,,,,,,,,,,,,,
e2fsprogs-devel,e2fsprogs,efivar-libs,efivar,emacs-lucid,emacs,gspell,gssdp,guile,guile,,,,,,,,,,,,,,,
e2fsprogs-libs,e2fsprogs,elfutils,elfutils,emacs-nox,emacs,gssdp,gssproxy,gupnp,gupnp,,,,,,,,,,,,,,,
easymock,easymock,elfutils-debuginfod,elfutils,emacs-terminal,emacs,gssproxy,gstreamer1,gvfs,gvfs,,,,,,,,,,,,,,,
easymock-javadoc,easymock,elfutils-debuginfod-client,elfutils,emoji-picker,ibus-typing-booster,gstreamer1,gstreamer1,gvfs-client,gvfs,,,,,,,,,,,,,,,
ecj,ecj,elfutils-debuginfod-client-devel,elfutils,enchant,enchant,gstreamer1-devel,gstreamer1-plugins-bad-free,gvnc,gtk-vnc,,,,,,,,,,,,,,,
eclipse-ecf-core,eclipse-ecf,elfutils-default-yama-scope,elfutils,enchant2,enchant2,gstreamer1-plugins-bad-free,gstreamer1-plugins-base,gzip,gzip,,,,,,,,,,,,,,,
eclipse-ecf-runtime,eclipse-ecf,elfutils-devel,elfutils,environment-modules,environment-modules,gstreamer1-plugins-base,gstreamer1-plugins-base,hamcrest,hamcrest,,,,,,,,,,,,,,,
eclipse-ecf-sdk,eclipse-ecf,elfutils-libelf,elfutils,erlang-asn1,erlang,gstreamer1-plugins-base-devel,gstreamer1-plugins-good,haproxy,haproxy,,,,,,,,,,,,,,,
eclipse-emf-core,eclipse-emf,elfutils-libelf-devel,elfutils,erlang-common_test,erlang,gstreamer1-plugins-good,gstreamer1-plugins-ugly-free,haproxy-help,haproxy,,,,,,,,,,,,,,,
eclipse-emf-runtime,eclipse-emf,elfutils-libs,elfutils,erlang-compiler,erlang,gstreamer1-plugins-ugly-free,gtk-murrine-engine,harfbuzz,harfbuzz,,,,,,,,,,,,,,,
eclipse-emf-sdk,eclipse-emf,elinks,elinks,erlang-crypto,erlang,gtk-murrine-engine,gtk-vnc,harfbuzz-devel,harfbuzz,,,,,,,,,,,,,,,
eclipse-emf-xsd,eclipse-emf,emacs,emacs,erlang-cuttlefish,erlang-cuttlefish,gtk-vnc2,gtk2,hawtjni-runtime,hawtjni,,,,,,,,,,,,,,,
eclipse-equinox-osgi,eclipse,emacs-common,emacs,erlang-debugger,erlang,gtk2,gtk2,hdparm,hdparm,,,,,,,,,,,,,,,
eclipse-jdt,eclipse,emacs-filesystem,emacs,erlang-eldap,erlang,gtk2-devel,gtk3,hexedit,hexedit,,,,,,,,,,,,,,,
eclipse-license1,eclipse-license,emacs-lucid,emacs,erlang-erts,erlang,gtk3,gtk3,hfsplus-tools,hfsplus-tools,,,,,,,,,,,,,,,
eclipse-license2,eclipse-license,emacs-nox,emacs,erlang-et,erlang,gtk3-devel,gtkmm24,hicolor-icon-theme,hicolor-icon-theme,,,,,,,,,,,,,,,
eclipse-p2-discovery,eclipse,emacs-terminal,emacs,erlang-eunit,erlang,gtkmm24,gtkmm30,hivex,hivex,,,,,,,,,,,,,,,
eclipse-pde,eclipse,emoji-picker,ibus-typing-booster,erlang-getopt,erlang-getopt,gtkmm30,guava20,hostname,hostname,,,,,,,,,,,,,,,
eclipse-platform,eclipse,enchant,enchant,erlang-goldrush,erlang-goldrush,guava20,gubbi-fonts,http-parser,http-parser,,,,,,,,,,,,,,,
eclipse-swt,eclipse,enchant2,enchant2,erlang-hipe,erlang,gubbi-fonts,guile,httpcomponents-client,httpcomponents-client,,,,,,,,,,,,,,,
ecryptfs-utils,ecryptfs-utils,environment-modules,environment-modules,erlang-inets,erlang,guile,gupnp,httpcomponents-core,httpcomponents-core,,,,,,,,,,,,,,,
ed,ed,erlang-asn1,erlang,erlang-kernel,erlang,gupnp,gvfs,httpd,httpd,,,,,,,,,,,,,,,
edac-utils,edac-utils,erlang-common_test,erlang,erlang-lager,erlang-lager,gvfs,gvfs,httpd-devel,httpd,,,,,,,,,,,,,,,
edk2-ovmf,edk2,erlang-compiler,erlang,erlang-mnesia,erlang,gvfs-client,gtk-vnc,httpd-filesystem,httpd,,,,,,,,,,,,,,,
efi-filesystem,efi-rpm-macros,erlang-crypto,erlang,erlang-mustache,erlang-mustache,gvnc,gzip,httpd-help,httpd,,,,,,,,,,,,,,,
efi-srpm-macros,efi-rpm-macros,erlang-cuttlefish,erlang-cuttlefish,erlang-observer,erlang,gzip,hamcrest,httpd-manual,httpd,,,,,,,,,,,,,,,
efibootmgr,efibootmgr,erlang-debugger,erlang,erlang-os_mon,erlang,hamcrest,haproxy,httpd-tools,httpd,,,,,,,,,,,,,,,
efivar,efivar,erlang-eldap,erlang,erlang-public_key,erlang,haproxy,haproxy,hunspell,hunspell,,,,,,,,,,,,,,,
efivar-libs,efivar,erlang-erts,erlang,erlang-runtime_tools,erlang,haproxy-help,harfbuzz,hunspell-en,hunspell-en,,,,,,,,,,,,,,,
elfutils,elfutils,erlang-et,erlang,erlang-sasl,erlang,harfbuzz,harfbuzz,hwdata,hwdata,,,,,,,,,,,,,,,
elfutils-debuginfod,elfutils,erlang-eunit,erlang,erlang-sd_notify,erlang-sd_notify,harfbuzz-devel,hawtjni,hwinfo,hwinfo,,,,,,,,,,,,,,,
elfutils-debuginfod-client,elfutils,erlang-getopt,erlang-getopt,erlang-snmp,erlang,hawtjni-runtime,hdparm,hwinfo-help,hwinfo,,,,,,,,,,,,,,,
elfutils-debuginfod-client-devel,elfutils,erlang-goldrush,erlang-goldrush,erlang-ssh,erlang,hdparm,hexedit,hwloc,hwloc,,,,,,,,,,,,,,,
elfutils-default-yama-scope,elfutils,erlang-hipe,erlang,erlang-ssl,erlang,hexedit,hfsplus-tools,hyphen,hyphen,,,,,,,,,,,,,,,
elfutils-devel,elfutils,erlang-inets,erlang,erlang-stdlib,erlang,hfsplus-tools,hicolor-icon-theme,iSulad,iSulad,,,,,,,,,,,,,,,
elfutils-libelf,elfutils,erlang-kernel,erlang,erlang-syntax_tools,erlang,hicolor-icon-theme,hivex,ibus-libs,ibus,,,,,,,,,,,,,,,
elfutils-libelf-devel,elfutils,erlang-lager,erlang-lager,erlang-tools,erlang,hivex,hostname,ilmbase,ilmbase,,,,,,,,,,,,,,,
